vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
JumpDC-bike_18908,JUMP DC-0787,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9954233333333,38.8212183333333
JumpDC-bike_23626,JUMP DC-2661,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9774283333333,38.8648216666667
BirdDC-X7QG5,X7QG5,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-77.0260766666667,38.87566
JumpDC-bike_23701,JUMP DC-2736,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0227516666667,38.8782366666667
JumpDC-bike_23209,JUMP DC-2518,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0185516666667,38.8772183333333
JumpDC-bike_18834,JUMP DC-0711,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0174883333333,38.8779633333333
JumpDC-bike_23450,JUMP DC-2585,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0172816666667,38.8770266666667
JumpDC-bike_23680,JUMP DC-2715,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9912316666667,38.85889
BirdDC-PNXU6,PNXU6,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-76.97419,38.8575366666667
BirdDC-BU1FA,BU1FA,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-76.97483,38.857875
JumpDC-bike_18865,JUMP DC-0824,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9949966666667,38.862055
JumpDC-bike_23229,JUMP DC-2538,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0242633333333,38.8797133333333
JumpDC-bike_16624,JUMP DC-0229,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0242283333333,38.8796616666667
JumpDC-bike_23445,JUMP DC-2580,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0242783333333,38.8796133333333
JumpDC-bike_23210,JUMP DC-2519,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0228183333333,38.87846
JumpDC-bike_16532,JUMP DC-0223,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0227916666667,38.8784516666667
JumpDC-bike_23497,JUMP DC-2632,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0129983333333,38.8814516666667
JumpDC-bike_23642,JUMP DC-2677,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.01742,38.8780066666667
JumpDC-bike_23482,JUMP DC-2617,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0154266666667,38.875295
JumpDC-bike_23438,JUMP DC-2573,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.99925,38.8782383333333
BirdDC-FTVV4,FTVV4,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-77.0196233333333,38.8861966666667
JumpDC-bike_23695,JUMP DC-2730,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9902133333333,38.8890633333333
BirdDC-K69YG,K69YG,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-76.9562983333333,38.887825
JumpDC-bike_23696,JUMP DC-2731,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0487383333333,38.8932266666667
BirdDC-NDGPG,NDGPG,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-76.9563653,38.8877893
SkipDC-352897091457526,"",2018-12-21 04:04:45-07,SkipDC,electric-scooter,2018-12-21 04:05:00-07,-77.046165,38.8919433
BirdDC-M8D6N,M8D6N,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-77.0012666666667,38.8447
JumpDC-bike_18883,JUMP DC-0842,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0468,38.8950916666667
JumpDC-bike_23217,JUMP DC-2526,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0446966666667,38.8936433333333
BirdDC-UV7UX,UV7UX,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-77.0413516666667,38.8960566666667
SkipDC-352897091327968,"",2018-12-21 04:04:45-07,SkipDC,electric-scooter,2018-12-21 04:05:00-07,-77.0394517,38.893915
BirdDC-LIVU8,LIVU8,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-77.0196233333333,38.8929183333333
JumpDC-bike_23700,JUMP DC-2735,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0023333333333,38.8946533333333
JumpDC-bike_23513,JUMP DC-2648,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0024233333333,38.894745
JumpDC-bike_23466,JUMP DC-2601,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9962883333333,38.8922116666667
JumpDC-bike_23617,JUMP DC-2652,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9965716666667,38.8923583333333
BirdDC-26GF2,26GF2,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-76.982475,38.8960566666667
BirdDC-QQMME,QQMME,2018-12-21 04:04:45-07,BirdDC,electric-scooter,2018-12-21 04:05:00-07,-76.9824216666667,38.89605
JumpDC-bike_16612,JUMP DC-0247,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-76.9357766666667,38.8963433333333
JumpDC-bike_23633,JUMP DC-2668,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0543933333333,38.8976733333333
JumpDC-bike_18839,JUMP DC-0716,2018-12-21 04:04:58-07,JumpDC,pedal-assist-bike,2018-12-21 04:05:00-07,-77.0471266666667,38.8995933333333
